Word;Score
ой;-1
милий;1
гей;1
мила;1
сина;-1
дівчина;1
козак;1
сину;1
нема;-1
сестра;-1
пан;-1
дунаю;-1
піду;-1
дитину;1
нас;1
сам;-1
серце;1
сестро;-1
дитина;1
дитя;1
жінку;-1
молода;1
син;1
люди;-1
мамцю;1
дочку;1
козаче;1
доню;1
червона;-1
миленький;1
брата;1
вдова;-1
дівчину;1
брате;-1
брат;-1
рідна;1
рада;1
дівчино;1
жінка;-1
серденько;1
діти;1
дівка;-1
дунай;-1
порозі;-1
бідна;-1
косу;1
кров;-1
боже;1
невістку;-1
коника;1
молоду;1
батько;1
плаче;-1
каньовський;-1
сльози;-1
молоденький;1
козаченько;1
милу;1
жінко;-1
бондарівна;-1
козаченьку;1
дрібні;-1
молоденька;1
любила;1
гості;-1
жінки;-1
лежить;-1
молодая;1
дівчини;1
милого;1
роду;1
мужа;-1
миленького;1
боюся;-1
землі;-1
добрий;1
водою;-1
батька;1
хата;-1
ножа;-1
горе;-1
терен;-1
дочка;1
жаль;-1
світ;1
бити;-1
нене;1
мамуню;1
неньку;1
калину;-1
молодий;1
вороного;1
вина;-1
дівчинонько;1
стиха;-1
садочку;1
вірно;1
вода;-1
синочку;1
явір;-1
родина;1
корабель;-1
мамо;1
бондарівно;-1
пива;-1
зчарувала;-1
дівча;1
молодого;1
явора;-1
гуляти;-1
стара;-1
невістці;-1
молодую;1
гандзю;-1
бондарівну;-1
петруся;1
треба;-1
пити;-1
немає;-1
забий;-1
мале;-1
любити;1
додомоньку;1
пшениченьку;1
дівчинонька;1
люба;1
біжит;-1
вдови;-1
просити;1
молодому;1
риночку;1
пила;-1
пані;-1
тяжко;-1
лежит;-1
очі;1
наробила;-1
біжить;-1
горілки;-1
білі;-1
вітер;-1
тихого;-1
додомочку;1
дочки;1
дівки;-1
нелюба;-1
впала;-1
старий;-1
обідати;-1
долі;-1
круту;-1
поховала;-1
лиха;-1
діток;1
добрі;1
прийми;-1
терном;-1
чарувати;-1
гнити;-1
маленька;1
вишневім;1
матінка;1
раненько;1
нагайка;-1
вернись;1
годувати;1
маленьку;1
труно;-1
бондарівні;-1
пане;-1
жалю;-1
головочку;1
пана;-1
подай;-1
козаченька;1
серця;-1
гулять;-1
земля;-1
василеньку;1
жати;-1
ноги;-1
годі;-1
доля;-1
віддала;-1
королевич;1
ручки;1
пили;-1
миленька;1
дитятко;1
мами;1
чорний;-1
меду;1
брови;1
біжи;-1
головоньку;1
навіки;-1
сирій;-1
шукати;-1
вороненький;1
лавці;-1
голубка;1
солдати;-1
дочко;1
вернуся;-1
чорнобрива;1
гостину;-1
породила;1
п'є;-1
порадь;1
ненько;1
гострий;-1
неньки;1
братик;1
сестри;-1
вдома;1
матінки;1
ніж;-1
дзвони;-1
зрубати;-1
дурна;-1
зозуленька;1
личко;1
добре;1
люблю;1
калини;-1
вкраїну;1
голос;1
постіль;-1
журися;-1
нагайку;-1
сінях;-1
погодую;1
заплакала;-1
квітка;1
пусти;-1
гуляла;-1
маму;1
хліб-сіль;1
матінко;1
туча;-1
лихая;-1
любиш;1
дівко;-1
випий;-1
напився;-1
сідельце;1
рятуй;-1
козака;1
дівчиноньку;1
чеше;-1
явором;-1
коник;1
чужині;-1
п'єш;-1
гріх;-1
ненька;1
дітки;1
новий;-1
ворон;-1
невістка;-1
люде;1
весілля;-1
брешеш;-1
забула;-1
провинила;-1
полокати;-1
сусіди;-1
солодкого;1
дочок;1
братчик;1
лякайся;-1
плакала;-1
петрусю;1
дочекала;-1
чари;-1
світлицю;1
дівчиною;1
головонька;1
плакати;-1
сирая;-1
матері;1
голуб;1
хлопець;1
могила;-1
щастя;1
звів;-1
тихий;-1
чужа;-1
молодою;1
землю;-1
зозуля;1
жоною;-1
данилюша;1
родила;1
півночі;-1
здоров;1
віконце;1
смерть;-1
поховати;-1
сини;1
рекрут;-1
ляшком;-1
молоденьку;1
конику;1
полюбила;1
плач;-1
синку;1
правду;-1
поріг;-1
нічку;1
хтіла;1
загубила;-1
болить;-1
нічого;-1
прилетіла;1
кинув;-1
матір;1
бодай;-1
молодій;1
слуги;1
коршомки;-1
сестру;-1
кумою;-1
поглядає;-1
кіпи;-1
розбойніка;-1
рукавчика;1
встань;-1
нянька;1
плати;-1
голочки;1
о-йо-йой;-1
в'язати;-1
гандзя;-1
молод;1
постелі;-1
вельможна;-1
василькович;-1
